total_bill,tip,sex,smoker,day,time,size,price_per_person,firstname,lastname,Payer Name,CC Number,Payment ID
788.35,165.32,Male,No,Thu,Breakfast,4,382.73,Larine,Couture,Larine Couture,6556696231250293,Sun0744
798.79,489.72,Male,No,Sun,Breakfast,3,30,Peri,Lia,Peri Lia,6556363607583793,Sun7187
868.87,267.42,Female,Yes,Fri,Breakfast,3,50.67,Frank,Susannah,Frank Susannah,6541125233343875,Sun8707
174.5,683.46,Male,Yes,Sat,Dinner,2,216.4,Magdalena,Cassius,Magdalena Cassius,6556714187045955,Sun9128
593.48,772.13,Male,Yes,Fri,Dinner,4,120.72,Mariann,Wu,Mariann Wu,6541011618654043,Sun2104
410.05,615.51,Female,No,Sun,Dinner,4,11.16,Yvonne,Emanuel,Yvonne Emanuel,6556294428532926,Sun5002
347.9,580.82,Female,No,Tue,Dinner,1,477.14,Rosabelle,Obed,Rosabelle Obed,6556585173295322,Sun5730
301.73,2.23,Male,No,Tue,Dinner,4,482.33,Ericka,Curren,Ericka Curren,6556015030713398,Sun8815
938.69,46.38,Male,Yes,Sun,Meal,4,802.85,Katuscha,Talia,Katuscha Talia,6541373845458874,Sun5741
769.47,712.49,Female,No,Sun,Dinner,3,153.41,Beth,Fancie,Beth Fancie,6541967601304545,Sun1416
268.27,275.29,Female,No,Sun,Meal,1,250.5,Marcy,Keily,Marcy Keily,6556331029573570,Sun3033
130.07,554.87,Female,Yes,Sat,Breakfast,3,743.42,Susette,Kazimir,Susette Kazimir,6541384729430133,Sun8057
821.79,272.21,Male,No,Tue,Dinner,4,614.02,Phedra,Howlyn,Phedra Howlyn,6541763278771997,Sun5590
707.69,752.52,Male,No,Tue,Breakfast,2,769.12,Carmela,Tengdin,Carmela Tengdin,6556999740696478,Sun4035
222.28,141.01,Male,No,Thu,Meal,2,653.89,Elise,Kirbee,Elise Kirbee,6541845808308544,Sun4126
903.56,858.81,Female,Yes,Sat,Breakfast,2,574.25,Blondelle,Adrienne,Blondelle Adrienne,6556288610113184,Sun1073
300.9,916.87,Male,No,Fri,Dinner,2,256.91,Tersina,Dorothy,Tersina Dorothy,6541797699392762,Sun2393
279.35,407.93,Male,No,Thu,Meal,3,659.48,Misha,Brady,Misha Brady,6541625601178479,Sun2172
416.21,644.32,Female,No,Sat,Dinner,4,659.18,Robbi,Ehrman,Robbi Ehrman,6541884302679298,Sun6305
698.83,103.74,Female,No,Sun,Breakfast,1,96.07,Rosabelle,Merriott,Rosabelle Merriott,6556208968947559,Sun0879
342.66,926.73,Male,No,Wed,Meal,2,767.44,Lyssa,Bennie,Lyssa Bennie,6541218726020312,Sun8136
351.38,254.99,Female,No,Mon,Breakfast,3,809.28,Tina,Jaylene,Tina Jaylene,6556264127913449,Sun4204
268.93,43.25,Male,Yes,Sat,Dinner,3,119.61,Catharine,Geffner,Catharine Geffner,6541695922260310,Sun5689
855.61,70.99,Female,No,Wed,Meal,2,954.81,Margette,Cynar,Margette Cynar,6541980686553627,Sun9581
962,320.19,Male,Yes,Wed,Dinner,1,751.58,Nannie,Tayib,Nannie Tayib,6541546451918142,Sun5357
210.96,671.57,Male,No,Mon,Breakfast,4,356.54,Amalie,Hortensia,Amalie Hortensia,6556130118624600,Sun3407
988.43,401.35,Female,Yes,Mon,Dinner,2,545.85,Fred,Christal,Fred Christal,6556436670116044,Sun1183
761.65,574.54,Female,No,Fri,Breakfast,2,596.63,Henriette,Paine,Henriette Paine,6556852760002358,Sun2517
903.6,461.71,Male,No,Sun,Breakfast,2,767.59,Alex,Fadiman,Alex Fadiman,6556950915603313,Sun1643
949.86,409.57,Male,No,Tue,Breakfast,1,213.4,Carolina,Palocz,Carolina Palocz,6556547027864167,Sun9709
328.2,944.79,Male,No,Wed,Breakfast,3,299.65,Meriel,Poll,Meriel Poll,6541603389852879,Sun2692
788.55,274.31,Male,No,Fri,Dinner,3,619.06,Donnie,Cookie,Donnie Cookie,6541756689415206,Sun6164
355.27,305.74,Female,Yes,Thu,Breakfast,4,329.76,Elise,Cloris,Elise Cloris,6556791244580199,Sun3486
362.82,890.01,Female,No,Tue,Meal,2,636.91,Eve,Constancy,Eve Constancy,6556197336703737,Sun0299
355.9,526.29,Male,No,Thu,Meal,4,3.42,Addia,Egbert,Addia Egbert,6541945825494423,Sun5283
672.26,93.19,Male,Yes,Wed,Meal,3,653.08,Netty,Sprage,Netty Sprage,6541696516877140,Sun0196
709.44,231.17,Female,No,Sun,Meal,4,740.59,Pamella,Etom,Pamella Etom,6556821351919132,Sun3735
669.86,100.11,Female,Yes,Wed,Breakfast,4,388.44,Kirbee,Frodi,Kirbee Frodi,6541350724501621,Sun6281
316.07,541.12,Male,Yes,Thu,Dinner,2,435.64,Cathie,Primalia,Cathie Primalia,6541531531926662,Sun7316
129.99,655.63,Male,No,Sun,Meal,3,432.49,Britte,Kirbee,Britte Kirbee,6556212146043740,Sun9518
831.19,776.61,Male,No,Sat,Breakfast,4,525.34,Gisela,Arne,Gisela Arne,6556923659692635,Sun7383
300,920.38,Female,No,Mon,Breakfast,4,588.56,Farrah,Heisel,Farrah Heisel,6556144667404459,Sun1553
670.77,779.99,Male,Yes,Sat,Breakfast,2,261.68,Zsa Zsa,Libna,Zsa Zsa Libna,6541628315684952,Sun1100
501.03,255.28,Male,Yes,Wed,Meal,3,956.7,Kittie,Si,Kittie Si,6541522234152186,Sun2412
876.01,919.16,Female,No,Tue,Dinner,3,323.71,Katleen,Jobi,Katleen Jobi,6556010878332028,Sun5061
953,724.16,Male,Yes,Fri,Dinner,3,984.22,Nerta,Garlinda,Nerta Garlinda,6541174741559539,Sun9117
406.36,763.16,Male,No,Tue,Meal,3,868.66,Ada,Sophronia,Ada Sophronia,6541823241689577,Sun3968
309.11,327.81,Female,No,Thu,Dinner,3,696.79,Elvira,Whittaker,Elvira Whittaker,6541807987697629,Sun3845
276.28,957.29,Female,Yes,Fri,Breakfast,1,410.6,Althea,Rugen,Althea Rugen,6541052808069630,Sun5163
357.87,72.48,Female,Yes,Mon,Meal,1,643.85,Benita,Damarra,Benita Damarra,6541137902772494,Sun7813
507.98,254.13,Male,Yes,Mon,Meal,3,958.9,Arlina,Medrek,Arlina Medrek,6541489306105990,Sun8096
839.59,62.83,Male,No,Wed,Breakfast,4,690.59,Rayna,Fiann,Rayna Fiann,6541868121033029,Sun9959
346.67,103.3,Female,No,Sun,Dinner,4,560.19,Lanae,Tound,Lanae Tound,6541116088336012,Sun4458
179.38,373.41,Female,No,Fri,Meal,1,390.25,Robbi,Gombach,Robbi Gombach,6541356644559774,Sun7782
974.93,432.26,Male,Yes,Thu,Dinner,3,195.85,Amelia,Si,Amelia Si,6556914687280723,Sun4508
867.67,722.1,Male,No,Wed,Meal,4,44.32,Brietta,Salvidor,Brietta Salvidor,6541680236410752,Sun4389
588.17,223.57,Male,Yes,Wed,Dinner,2,967.2,Henriette,Bonilla,Henriette Bonilla,6541414911116018,Sun9189
609.83,2.65,Male,Yes,Mon,Dinner,2,27.39,Janeczka,Barbey,Janeczka Barbey,6556657967015119,Sun0792
475.45,427.28,Female,No,Sun,Dinner,4,124.17,Zsa Zsa,Malanie,Zsa Zsa Malanie,6541403468866549,Sun4547
473.99,543.87,Female,No,Sat,Dinner,4,107.43,Deloria,Maxi,Deloria Maxi,6541948014940355,Sun6117
368.39,906.97,Female,Yes,Sun,Dinner,3,602.79,Kelly,Ardeha,Kelly Ardeha,6556237476496272,Sun7039
409.28,530.61,Male,No,Wed,Dinner,2,661.61,Melisent,Gale,Melisent Gale,6556918337429746,Sun0551
464.09,641.05,Female,No,Sun,Meal,2,904.2,Adele,Berard,Adele Berard,6541420874072778,Sun4568
314.72,546.78,Male,Yes,Sun,Breakfast,2,785.24,Rhea,Stoller,Rhea Stoller,6541691611083234,Sun3016
842.64,665.74,Male,No,Thu,Dinner,4,114.04,Ingrid,Janith,Ingrid Janith,6541479400304115,Sun9990
912.35,319.25,Female,Yes,Mon,Breakfast,1,779.27,Anestassia,Agle,Anestassia Agle,6541146061869397,Sun7206
101.51,934.51,Male,Yes,Tue,Dinner,1,942.45,Ardys,Meter,Ardys Meter,6556880932509080,Sun9964
554.37,992.56,Female,No,Thu,Breakfast,3,488.65,Alexine,Seumas,Alexine Seumas,6541865721594594,Sun3846
236.41,416.06,Male,No,Sat,Breakfast,1,634.42,Allis,Brenn,Allis Brenn,6556679296924017,Sun7787
861.76,433,Male,Yes,Mon,Dinner,3,572.74,Julieta,Erminia,Julieta Erminia,6556174966289038,Sun0972
789.27,676.54,Male,No,Fri,Meal,1,345.62,Dorice,Sothena,Dorice Sothena,6556959153036406,Sun1113
577.69,447.64,Female,Yes,Fri,Breakfast,1,226.92,Beatriz,Cath,Beatriz Cath,6556332839693323,Sun3735
703.67,994.47,Male,No,Mon,Breakfast,4,320.63,Magdalena,Hepsibah,Magdalena Hepsibah,6541023966160852,Sun4071
206.82,307.64,Female,No,Sat,Breakfast,4,973.57,Brana,Schlosser,Brana Schlosser,6556434510691569,Sun1469
521.98,371.01,Male,No,Tue,Dinner,2,679.28,Mureil,Nisbet,Mureil Nisbet,6541748562239633,Sun8709
714.66,727.48,Female,No,Sun,Breakfast,3,843.01,Darlleen,Brenn,Darlleen Brenn,6556067575106110,Sun3832
762.97,895.56,Male,No,Fri,Dinner,1,26.12,Edith,Cullin,Edith Cullin,6556469677614702,Sun1370
439.66,63.83,Male,No,Wed,Dinner,2,833.59,Louella,Reidar,Louella Reidar,6541387469994780,Sun8043
360.94,488.82,Female,Yes,Tue,Meal,3,811.98,Nannie,Cadmar,Nannie Cadmar,6556740715095790,Sun0889
995.4,269.95,Male,Yes,Sun,Breakfast,2,614.86,Caressa,Land,Caressa Land,6541103944822483,Sun2269
826.38,283.12,Male,No,Fri,Dinner,4,37.65,Lita,Alabaster,Lita Alabaster,6556573963608030,Sun7690
514.46,49.04,Female,No,Thu,Breakfast,4,367.11,Deedee,Ries,Deedee Ries,6541079943133774,Sun6744
182.68,858.16,Male,No,Tue,Breakfast,1,259.4,Kelly,Read,Kelly Read,6541201097368376,Sun9981
815.81,488.66,Male,Yes,Wed,Breakfast,4,187.22,Rubie,Zamora,Rubie Zamora,6556394733039903,Sun2307
936.75,138.44,Female,Yes,Mon,Dinner,1,143.41,Corene,Oriana,Corene Oriana,6541848135166823,Sun7084
489.72,292.27,Male,Yes,Sun,Breakfast,2,68.95,Sabina,Cassius,Sabina Cassius,6541293972708373,Sun7700
644.95,243.83,Female,Yes,Tue,Dinner,3,665.29,Elmira,Wadell,Elmira Wadell,6541067732923010,Sun2708
172.82,674.78,Male,Yes,Tue,Breakfast,3,966.67,Donnie,Bollay,Donnie Bollay,6541614925913073,Sun9761
456.03,657.84,Female,Yes,Thu,Meal,2,469.83,Drucie,Hermes,Drucie Hermes,6541087756373290,Sun0284
169.59,746.89,Male,No,Tue,Breakfast,3,91.07,Willetta,Sothena,Willetta Sothena,6541409604221897,Sun0817
275.28,546.45,Female,No,Tue,Meal,3,380.86,Sybille,Remmer,Sybille Remmer,6541883639495428,Sun9953
949.09,643.44,Female,Yes,Thu,Dinner,2,326.24,Roz,Joseph,Roz Joseph,6556915588984898,Sun8852
354.95,706,Female,No,Sun,Dinner,4,393.53,Melodie,Talia,Melodie Talia,6541792482230384,Sun6037
373.28,659.06,Female,No,Sat,Meal,3,783.23,Fanchon,Lytton,Fanchon Lytton,6541355868163240,Sun3293
328.43,597.43,Female,Yes,Tue,Meal,2,76.33,Nyssa,Joli,Nyssa Joli,6541496946595813,Sun9791
259.81,776.54,Female,Yes,Fri,Meal,3,125.86,Belinda,Tillford,Belinda Tillford,6541369136834453,Sun3582
853.25,381.83,Male,No,Fri,Breakfast,3,804.41,Jany,Loring,Jany Loring,6541774717666421,Sun7429
747.75,428.3,Female,No,Mon,Meal,4,376.71,Maryellen,Lowry,Maryellen Lowry,6541597886996346,Sun7109
219.12,854.2,Male,Yes,Fri,Dinner,1,181.64,Brianna,Merell,Brianna Merell,6556194256979255,Sun2822
113.43,737.97,Female,No,Fri,Breakfast,1,235.67,Dorothy,Cyrie,Dorothy Cyrie,6541669145163364,Sun3676
211.43,92.7,Male,No,Tue,Breakfast,4,277.07,Magdalena,Korey,Magdalena Korey,6556060469285980,Sun5329
332.26,743.19,Male,No,Mon,Dinner,3,342.75,Corina,Kenney,Corina Kenney,6541607946833674,Sun7046
107.58,190.35,Female,No,Sat,Dinner,2,749.19,Susette,Amethist,Susette Amethist,6556488313419205,Sun8602
262.94,660.4,Female,No,Wed,Meal,3,47.35,Amalie,Seumas,Amalie Seumas,6541490197305841,Sun0163
575.04,859.02,Male,No,Tue,Breakfast,3,768.55,Fredericka,Philoo,Fredericka Philoo,6541815505183544,Sun2647
212,298.13,Male,No,Tue,Breakfast,1,457.29,Gwenneth,Persse,Gwenneth Persse,6541361716960972,Sun9134
374.34,767.58,Male,No,Fri,Meal,4,187.66,Gwenneth,Medrek,Gwenneth Medrek,6541604757400719,Sun1527
491.01,551.87,Female,No,Wed,Breakfast,4,408.58,Deedee,Elvyn,Deedee Elvyn,6556061409814028,Sun6501
579.77,737.95,Male,Yes,Sat,Dinner,3,870.64,Moyna,Presber,Moyna Presber,6556485275344683,Sun4367
928.45,521.27,Male,Yes,Tue,Dinner,2,154.21,Janeczka,Karna,Janeczka Karna,6541689783177990,Sun8210
642.07,485.38,Male,No,Mon,Dinner,3,577.31,Corene,Blake,Corene Blake,6541154449381783,Sun1902
239.07,927.39,Female,Yes,Mon,Meal,4,796.28,Nerta,Krystle,Nerta Krystle,6556596932462799,Sun3011
558.71,81.36,Female,No,Tue,Meal,3,149.42,Queenie,Peg,Queenie Peg,6541690343208949,Sun0680
245.83,290.61,Male,No,Thu,Dinner,3,202.21,Ellette,Arne,Ellette Arne,6541881631954465,Sun2453
271,816.06,Male,Yes,Sat,Dinner,3,248.67,Perry,Camden,Perry Camden,6556493123242329,Sun6074
198.39,429.66,Female,Yes,Thu,Dinner,2,684,Belva,Natica,Belva Natica,6541273947605251,Sun9974
461.56,92.8,Female,No,Thu,Breakfast,4,673.65,Marinna,Raychel,Marinna Raychel,6556519044503314,Sun1569
894.9,690.93,Female,Yes,Thu,Dinner,3,564.74,Rebeca,Montgomery,Rebeca Montgomery,6556845179723511,Sun6550
616.27,854.71,Female,Yes,Fri,Dinner,3,287.11,Ruthe,Juliet,Ruthe Juliet,6541711734568566,Sun0855
626.74,952.29,Female,No,Mon,Breakfast,2,775.1,Jenda,Camden,Jenda Camden,6541193819098790,Sun9493
651.43,700.03,Female,Yes,Thu,Breakfast,1,254.05,Flo,Mandler,Flo Mandler,6541705357853506,Sun1102
180.63,654.52,Male,No,Sun,Breakfast,4,336.76,Myrtice,Kesley,Myrtice Kesley,6541227998737222,Sun2337
918.56,47.77,Male,Yes,Sat,Dinner,4,611.9,Silvana,Larochelle,Silvana Larochelle,6541020013158599,Sun3413
576.39,331.73,Male,Yes,Mon,Breakfast,3,357.4,Brana,Francene,Brana Francene,6541084972768369,Sun8881
374.42,466.93,Female,Yes,Sat,Dinner,3,325.32,Jinny,Lareena,Jinny Lareena,6556967412321319,Sun7213
265.07,403.94,Female,No,Sat,Meal,1,951.06,Amelia,Emmy,Amelia Emmy,6541959759209957,Sun8308
348.92,740.46,Male,Yes,Sun,Meal,2,913.85,Teddie,Willie,Teddie Willie,6556035269849105,Sun0253
552.47,922.99,Male,No,Fri,Meal,2,106.82,Mallory,Wildermuth,Mallory Wildermuth,6556295677566729,Sun8347
807.24,639.28,Male,No,Sat,Meal,3,357.83,Vita,Phyllis,Vita Phyllis,6556175003270028,Sun1235
409.99,331.25,Female,No,Fri,Breakfast,2,300.65,Wileen,Percy,Wileen Percy,6541339099291844,Sun9411
138.34,150.21,Female,Yes,Fri,Dinner,2,262.09,Averyl,Talia,Averyl Talia,6541303791090069,Sun2000
549.66,607.13,Male,No,Mon,Breakfast,2,275.05,Pamella,Percy,Pamella Percy,6556004852489585,Sun8923
364.51,92.51,Female,Yes,Tue,Dinner,2,716.94,Theodora,Quent,Theodora Quent,6541982606905289,Sun5599
361.23,213.92,Male,No,Thu,Dinner,4,21.43,Ileana,Mata,Ileana Mata,6556492527532951,Sun4115
712.78,815,Male,No,Sat,Dinner,1,944.29,Riannon,Shelba,Riannon Shelba,6556724520739371,Sun1379
797.35,711.6,Female,Yes,Thu,Dinner,2,661.66,Madeleine,Bohlin,Madeleine Bohlin,6541998996243130,Sun2057
879.45,767.02,Female,No,Sat,Meal,2,757.79,Kirstin,Wind,Kirstin Wind,6556318772675520,Sun3731
976.11,795.64,Female,No,Fri,Meal,4,270.09,Lily,Chauncey,Lily Chauncey,6556506980073707,Sun6372
985.58,568.3,Female,No,Sun,Dinner,1,24.24,Danika,Bohlin,Danika Bohlin,6556778380008857,Sun6577
626.85,491.9,Female,Yes,Fri,Meal,2,158.12,Margarette,Evvie,Margarette Evvie,6541472092304737,Sun7630
113.56,89.37,Female,Yes,Thu,Breakfast,3,665.19,Marjie,Monk,Marjie Monk,6556616315917989,Sun0044
846.35,312.57,Female,Yes,Sun,Meal,1,782.34,Millie,Marijo,Millie Marijo,6556972921538682,Sun9472
